"Country","DHS"
"Angola","2015"
"Benin","1996, 2001, 2006"
"Burkina Faso","1993, 1999, 2003, 2010"
"Burundi","2010"
"Cameroon","1998, 2004, 2011"
"Chad","2004, 2015"
"Comoros","1996, 2012"
"Congo","2005, 2012"
"Cote_dIvoire","2011"
"DRC","2007, 2014"
"Egypt","1988, 1992, 1995, 2000, 2003, 2005, 2008, 2014"
"Ethiopia","2000, 2005, 2011, 2016"
"Gabon","2000, 2012"
"Gambia","2013"
"Ghana","1989, 1993, 1998, 2003, 2008, 2014"
"Guinea","1999, 2005, 2012"
"Kenya","1993, 1998, 2003, 2008, 2014"
"Lesotho","2005, 2010, 2014"
"Liberia","2007, 2013"
"Madagascar","1992, 1997, 2004, 2009"
"Malawi","1992, 2000, 2004, 2010, 2015"
"Mali","1987, 1995, 2001, 2006"
"Morocco","1987, 1992, 2003"
"Mozambique","2003, 2011"
"Namibia","2000, 2007, 2013"
"Niger","1992, 1998, 2006, 2012"
"Nigeria","1990, 2003, 2008, 2013"
"Rwanda","2000, 2005, 2008, 2010, 2015"
"Senegal","1992, 1997, 2005, 2010, 2012, 2014, 2015, 2016"
"Sierra Leone","2013"
"Tanzania","1996, 1999, 2005, 2008, 2010, 2012, 2015"
"Togo","1998, 2013"
"Uganda","1989, 1995, 2001, 2006, 2011"
"Zambia","1992, 1996, 2001-02, 2007, 2014"
"Zimbabwe","1994, 1999, 2010-11, 2015"
